lat,long,aqi
35.3311831044903,-116.90978417398641,21
36.639900483285054,-117.64213358215912,16
36.63775318467227,-115.05548842214459,12
36.22596598148903,-120.02082358369472,25
32.76020893954039,-118.2556579827138,24
35.05197471277208,-121.84950972586144,6
34.71293437999319,-120.16496391207113,11
39.334239974870236,-122.41147117961818,6
35.6604089180491,-115.09945179900716,7
38.41932272330223,-119.01138003856211,19
33.623141302092705,-117.89428792252063,12
34.75895450011348,-120.33725651301188,7
36.69121496062662,-123.20348841623742,3
38.84031832489664,-121.79292511387663,17
39.634557095929466,-120.54001312657194,6
41.51534169542489,-114.46162742996934,9
41.95221964127967,-115.9966043539223,9
36.49149916461764,-119.68843022142366,10
36.42712061870251,-118.58839626618156,20
35.50322893627516,-116.90286234641425,21
36.55842530553666,-116.50010047301788,13
41.833054625076045,-117.68686314788953,0
41.38733602600537,-122.28912395504176,9
32.17572433788709,-117.08191001579921,58
38.262192966235745,-117.1414610225417,6
38.63244500960482,-123.29519859198074,1
40.16151296943385,-123.40491976092639,6
41.74223281275583,-116.29819442778913,9
38.395521412476285,-119.58045460689462,23
37.488864228304976,-117.73234827913585,11
41.77578441695199,-115.62457564938096,9
38.69356005213824,-115.91924461804584,9
36.08287394363011,-119.67251392989598,17
35.49568917514484,-117.57440031056139,14
39.84833616119754,-114.2227993800547,8
41.41454070414578,-117.13616458219576,0
32.39789962701327,-116.23122315091197,32
39.73063686086437,-114.35988157989325,8
40.64461813727833,-117.4857458203294,0
41.42548334623658,-115.55584950079135,8
40.17747306534986,-123.19321152983275,7
37.60722323033509,-121.44490241925591,22
40.61267825022311,-123.77020951399493,6
35.868164224653086,-119.5063162655221,8
39.62623033190472,-120.86769804989322,14
33.78155054584843,-115.71290640677645,32
34.133394958323066,-121.03795592805186,22
36.08503638176464,-121.3836746593497,29
41.088850786366685,-116.95983449010028,6
38.53152195499191,-122.61400323539475,6
40.72664793485251,-122.25450534237855,11
37.43992788004866,-119.34516608552616,8
39.39836932020032,-123.94747047651344,14
32.1205255549009,-115.57029115810971,54
37.46377046548376,-114.2169938468429,16
38.34907271671312,-119.75709025804646,3
34.93711278797742,-118.82261212536463,11
37.990471957683624,-122.46861676360105,16
35.20171574525385,-115.81021547250994,13
39.192381535483904,-115.89706975847615,9
34.31601508971173,-114.46261167345367,17
39.08418521518246,-119.78437126652119,17
34.38835323999879,-119.01916567205872,30
37.47745616761468,-118.59715040815107,6
33.278328791602966,-115.02170640521096,34
38.191229474553595,-122.38874843388008,7
32.53404251626744,-118.66787511328613,24
34.58318030022205,-115.15832763322082,25
36.87066181680906,-120.50338475952393,3
35.413426569305834,-119.61175785769392,7
37.16812561824354,-117.48402396709157,11
38.27072326776117,-117.56006796600067,6
32.72759469552445,-118.63733276603601,24
38.080737254010856,-121.42746823293253,19
37.37407613948911,-116.76129888709544,13
33.20412094503318,-118.00270609569647,24
40.90290136943919,-120.47778058723605,21
36.04392894502329,-117.7718579599347,22
41.861110335452544,-117.2951587190846,9
34.783997435302965,-116.5623936687335,21
34.78812499975418,-114.98189439882894,32
35.25435267598149,-120.01301407774504,27
40.576225968898726,-118.66216597595243,6
35.479808673657566,-114.01809290577125,10
35.00435370705871,-118.82957413435784,11
39.628365082099,-115.75652990512629,9
39.90191540289858,-114.63426594803843,8
38.2985747045898,-118.35929254779379,19
36.3784763320367,-117.7189900262128,16
38.62579990693747,-118.20343702218335,19
41.67010053352045,-121.36287699314353,17
38.85861028416644,-121.67211938485471,17
36.55581711956152,-119.4045711145683,31
36.124053857199925,-114.04767390845856,9
40.2479524624288,-118.582770184726,6
